28/2/2024    14:22:53 18.62 
28/2/2024    14:22:55 18.44 
28/2/2024    14:22:56 18.25 
28/2/2024    14:22:58 18.12 
28/2/2024    14:22:59 18.06 
28/2/2024    14:23:1 18.00 
28/2/2024    14:23:3 17.87 
28/2/2024    14:23:4 17.87 
28/2/2024    14:23:6 17.87 
28/2/2024    14:23:7 17.81 
28/2/2024    14:23:9 17.75 
28/2/2024    14:23:10 17.69 
28/2/2024    14:23:12 17.69 
28/2/2024    14:23:13 17.69 
28/2/2024    14:23:15 17.69 
28/2/2024    14:23:16 17.69 
28/2/2024    14:23:18 17.69 
28/2/2024    14:23:19 17.69 
28/2/2024    14:23:21 17.75 
28/2/2024    14:23:22 17.69 
28/2/2024    14:23:24 17.75 
28/2/2024    14:23:25 17.69 
28/2/2024    14:23:27 17.69 
28/2/2024    14:23:28 17.69 
28/2/2024    14:23:30 17.69 
28/2/2024    14:23:31 17.69 
28/2/2024    14:23:33 17.62 
28/2/2024    14:23:34 17.62 
28/2/2024    14:23:36 17.69 
Stopped
28/2/2024    14:23:46 17.69 
28/2/2024    14:23:47 17.62 
28/2/2024    14:23:48 17.69 
28/2/2024    14:23:49 17.62 
28/2/2024    14:23:50 17.69 
28/2/2024    14:23:51 17.62 
28/2/2024    14:23:52 17.69 
28/2/2024    14:23:53 17.62 
28/2/2024    14:23:54 17.69 
28/2/2024    14:23:55 17.69 
28/2/2024    14:23:56 17.69 
28/2/2024    14:23:57 17.62 
28/2/2024    14:23:59 17.62 
28/2/2024    14:24:0 17.62 
28/2/2024    14:24:1 17.69 
28/2/2024    14:24:2 17.62 
28/2/2024    14:24:3 17.62 
28/2/2024    14:24:4 17.62 
28/2/2024    14:24:5 17.62 
28/2/2024    14:24:6 17.62 
28/2/2024    14:24:7 17.62 
28/2/2024    14:24:9 17.69 
28/2/2024    14:24:10 17.62 
28/2/2024    14:24:12 17.62 
28/2/2024    14:24:14 17.62 
28/2/2024    14:24:15 17.62 
28/2/2024    14:24:17 17.62 
28/2/2024    14:24:18 17.62 
28/2/2024    14:24:20 17.62 
28/2/2024    14:24:21 17.69 
28/2/2024    14:24:23 17.62 
28/2/2024    14:24:24 17.62 
28/2/2024    14:24:26 17.69 
28/2/2024    14:24:27 17.62 
28/2/2024    14:24:29 17.62 
28/2/2024    14:24:30 17.62 
28/2/2024    14:24:32 17.62 
28/2/2024    14:24:33 17.69 
Stopped
28/2/2024    14:24:41 17.69 
28/2/2024    14:24:42 17.69 
28/2/2024    14:24:43 17.62 
28/2/2024    14:24:44 17.69 
28/2/2024    14:24:45 17.69 
28/2/2024    14:24:46 17.62 
Stopped
28/2/2024    Next value is found above range!!!14:26:19 87 
28/2/2024    14:26:20 17.87 
28/2/2024    14:26:21 17.87 
28/2/2024    28/2/2024    14:26:22 17.81 
28/2/2024    14:26:23 17.81 
28/2/2024    14:26:24 17.87 
28/2/2024    14:26:26 17.87 
28/2/2024    14:26:27 17.87 
28/2/2024    14:26:28 17.81 
28/2/2024    14:26:29 17.87 
28/2/2024    14:26:30 17.87 
28/2/2024    14:26:31 17.81 
28/2/2024    14:26:32 17.87 
28/2/2024    14:26:33 17.87 
28/2/2024    14:26:34 17.81 
28/2/2024    14:26:35 17.81 
Stopped
28/2/2024    14:26:43 17.81 
28/2/2024    14:26:45 17.81 
28/2/2024    14:26:46 17.81 
28/2/2024    14:26:47 17.87 
28/2/2024    14:26:48 17.87 
28/2/2024    14:26:49 17.87 
28/2/2024    14:26:50 17.87 
28/2/2024    14:26:51 17.87 
28/2/2024    14:26:52 17.87 
28/2/2024    14:26:53 17.87 
28/2/2024    14:26:55 17.87 
28/2/2024    14:26:56 17.94 
28/2/2024    14:26:57 17.87 
28/2/2024    14:26:58 17.87 
Stopped
28/2/2024    Next value is found above range!!!14:28:28 06 
28/2/2024    28/2/2024    14:28:29 18.00 
28/2/2024    14:28:30 18.00 
28/2/2024    14:28:31 18.06 
28/2/2024    14:28:32 18.06 
28/2/2024    14:28:33 18.06 
28/2/2024    14:28:34 18.00 
28/2/2024    14:28:35 18.06 
28/2/2024    14:28:36 18.00 
28/2/2024    14:28:37 18.00 
28/2/2024    14:28:38 18.00 
28/2/2024    14:28:40 18.00 
28/2/2024    14:28:41 18.00 
28/2/2024    14:28:42 18.00 
